symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
NARMADA,Narmada Agrobase Limited,7(2),NEERAJKUMAR S AGARWAL,25-Nov-2024 18:08,1173821,,0,0,0,0,Equity Shares,6113556,525815,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173821_1319192_25112024060837_WEB.xml,Promoters,3396420,25.07,91703340,Equity Shares,9509976,25.07,15-Oct-2024,15-Oct-2024,25-Nov-2024,Others,-,NA,-
COFFEEDAY,Coffee Day Enterprises Limited,7(2),Malavika Hegde,25-Nov-2024 17:50,1173815,,0,0,0,0,Equity Shares,5681924,525800,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173815_1319164_25112024055019_WEB.xml,Promoters,2461656,1.16,0,Equity Shares,8143580,3.85,21-Nov-2024,21-Nov-2024,23-Nov-2024,Inter-se-Transfer,-,NA,-
COFFEEDAY,Coffee Day Enterprises Limited,7(2),V.G.Siddhartha,25-Nov-2024 17:50,1173815,,0,0,0,0,Equity Shares,5681924,525799,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173815_1319164_25112024055019_WEB.xml,Promoters,9097927,4.31,0,Equity Shares,3416003,1.62,21-Nov-2024,21-Nov-2024,23-Nov-2024,Inter-se-Transfer,-,NA,-
NH,Narayana Hrudayalaya Ltd.,7(2),Ameya Shetty,18-Nov-2024 15:48,1173405,,0,0,0,0,Equity Shares,10218040,524999,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173405_1316353_18112024034817_WEB.xml,Promoter Group,10218040,5,0,Equity Shares,Nil,0,11-Nov-2024,11-Nov-2024,13-Nov-2024,Inter-se-Transfer,-,NA,-
NH,Narayana Hrudayalaya Ltd.,7(2),Shakuntala Shetty,18-Nov-2024 15:48,1173405,,0,0,0,0,Equity Shares,10218040,525000,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173405_1316353_18112024034817_WEB.xml,Promoters,62083095,30.38,0,Equity Shares,72301135,35.38,11-Nov-2024,11-Nov-2024,13-Nov-2024,Inter-se-Transfer,-,NA,-
ESTER,Ester Industries Limited,7(2),MOVI Limited,15-Nov-2024 10:04,1173315,,0,0,0,0,Warrants,2531645,524742,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173315_1313683_15112024100429_WEB.xml,Promoter Group,Nil,0,399999910,Warrants,2531645,0,13-Nov-2024,13-Nov-2024,14-Nov-2024,Preferential Offer,-,NA,-
ESTER,Ester Industries Limited,7(2),Mr. Arvind Singhania,15-Nov-2024 10:04,1173315,,0,0,0,0,Warrants,3797468,524741,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173315_1313683_15112024100429_WEB.xml,Promoters,Nil,0,599999944,Warrants,3797468,0,13-Nov-2024,13-Nov-2024,14-Nov-2024,Preferential Offer,-,NA,-
TIMESGTY,Times Guaranty Limited,7(2),"Bennett, Coleman & Company Limited",11-Nov-2024 18:21,1173102,,0,0,0,0,Equity Shares,6737399,524277,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173102_1304385_11112024062130_WEB.xml,Promoters,6737399,74.92,336937324,Equity Shares,Nil,0,07-Nov-2024,07-Nov-2024,11-Nov-2024,Off Market,-,NA,-
TIMESGTY,Times Guaranty Limited,7(2),Team India Managers Limited,11-Nov-2024 17:43,1173098,,0,0,0,0,Equity Shares,4075024,524270,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173098_1304197_11112024054351_WEB.xml,Promoters,Nil,0,203792597,Equity Shares,4075024,45.31,06-Nov-2024,07-Nov-2024,08-Nov-2024,Off Market,-,NA,-
WIPRO,Wipro Limited,7(2),Prazim Traders,11-Nov-2024 17:03,1173093,,0,0,0,0,Equity Shares,44954128,524255,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173093_1304016_11112024050341_WEB.xml,Promoter Group,1065603101,20.37,25174311680,Equity Shares,1020648973,19.51,08-Nov-2024,08-Nov-2024,08-Nov-2024,Inter-se-Transfer,-,NSE,-
WIPRO,Wipro Limited,7(2),Zash Traders,11-Nov-2024 17:03,1173093,,0,0,0,0,Equity Shares,40000000,524257,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173093_1304016_11112024050341_WEB.xml,Promoter Group,1080566791,20.66,22400000000,Equity Shares,1040566791,19.89,08-Nov-2024,08-Nov-2024,08-Nov-2024,Inter-se-Transfer,-,NSE,-
WIPRO,Wipro Limited,7(2),Prazim Trading And Investment Company Pvt Ltd,11-Nov-2024 17:03,1173093,,0,0,0,0,Equity Shares,84954128,524256,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173093_1304016_11112024050341_WEB.xml,Promoter Group,Nil,0,47574311680,Equity Shares,84954128,1.62,08-Nov-2024,08-Nov-2024,08-Nov-2024,Inter-se-Transfer,-,NSE,-
SADBHAV,Sadbhav Engineering Limited,7(2),SHASHIN VISHNUBHAI PATEL,08-Nov-2024 16:22,1173033,,0,0,0,0,Equity Shares,19715734,524072,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173033_1301481_08112024042208_WEB.xml,Promoter Group,7378608,4.3,601724201,Equity Shares,27094342,15.79,05-Nov-2024,05-Nov-2024,07-Nov-2024,Others,-,NA,-
MANORAMA,Manorama Industries Limited,7(2),AGASTYA SARAF,07-Nov-2024 20:39,1173010,,0,0,0,0,Equity Shares,12818399,524036,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173010_1300614_07112024083928_WEB.xml,Promoter Group,14308375,24.01,0,Equity Shares,1489976,2.5,05-Nov-2024,05-Nov-2024,06-Nov-2024,Inter-se-Transfer,-,NA,-
MANORAMA,Manorama Industries Limited,7(2),VINITA ASHISH SARAF,07-Nov-2024 20:39,1173010,,0,0,0,0,Equity Shares,7935495,524034,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173010_1300614_07112024083928_WEB.xml,Promoters,13895400,23.31,0,Equity Shares,5959905,10,05-Nov-2024,05-Nov-2024,06-Nov-2024,Inter-se-Transfer,-,NA,-
MANORAMA,Manorama Industries Limited,7(2),SHREY ASHISH SARAF,07-Nov-2024 20:39,1173010,,0,0,0,0,Equity Shares,4430264,524035,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173010_1300614_07112024083928_WEB.xml,Promoter Group,5920240,9.93,0,Equity Shares,1489976,2.5,05-Nov-2024,05-Nov-2024,06-Nov-2024,Inter-se-Transfer,-,NA,-
MANORAMA,Manorama Industries Limited,7(2),ASHISH RAMESH SARAF,07-Nov-2024 20:39,1173010,,0,0,0,0,Equity Shares,25184158,524037,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1173010_1300614_07112024083928_WEB.xml,Immediate relative,Nil,0,0,Equity Shares,25184158,42.26,05-Nov-2024,05-Nov-2024,06-Nov-2024,Inter-se-Transfer,-,NA,-
AMIORG,Ami Organics Limited,7(2),Parulben Vaghasia,05-Nov-2024 16:26,1172914,,0,0,0,0,Equity Shares,2937500,523838,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172914_1297231_05112024042647_WEB.xml,Promoters,2937500,7.18,0,Equity Shares,Nil,0,04-Nov-2024,04-Nov-2024,05-Nov-2024,Gift,-,NA,-
AMIORG,Ami Organics Limited,7(2),NARESHKUMAR RAMJIBHAI PATEL,05-Nov-2024 16:26,1172914,,0,0,0,0,Equity Shares,3637500,523835,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172914_1297231_05112024042647_WEB.xml,Promoters,4278624,10.45,0,Equity Shares,7916124,19.34,04-Nov-2024,04-Nov-2024,05-Nov-2024,Gift,-,NA,-
AMIORG,Ami Organics Limited,7(2),CHETANKUMAR CHHAGANLAL VAGHASIA,05-Nov-2024 16:26,1172914,,0,0,0,0,Equity Shares,2937500,523836,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172914_1297231_05112024042647_WEB.xml,Promoters,3183500,7.78,0,Equity Shares,6121000,14.95,04-Nov-2024,04-Nov-2024,05-Nov-2024,Gift,-,NA,-
AMIORG,Ami Organics Limited,7(2),Sheetalben N. Patel,05-Nov-2024 16:26,1172914,,0,0,0,0,Equity Shares,3637500,523837,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172914_1297231_05112024042647_WEB.xml,Promoters,3637500,8.89,0,Equity Shares,Nil,0,04-Nov-2024,04-Nov-2024,05-Nov-2024,Gift,-,NA,-
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,05-Nov-2024 13:22,1172905,,0,0,0,0,Equity Shares,5007239,523813,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172905_1296947_05112024012236_WEB.xml,Director,172545633,28.19,3354606,Equity Shares,167538394,27.37,28-Oct-2024,30-Oct-2024,05-Nov-2024,Market Sale,-,NSE,-
MITTAL,Mittal Life Style Limited,7(2),BRIJESHKUMAR JAGDISHKUMAR MITTAL,30-Oct-2024 17:02,1172797,,0,0,0,0,Equity Shares,11817531,523580,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172797_1294379_30102024050251_WEB.xml,Promoters,14655062,3.3,23635062,Equity Shares,26472593,5.96,25-Oct-2024,25-Oct-2024,30-Oct-2024,Others,-,NSE,-
MITTAL,Mittal Life Style Limited,7(2),PRATIK MITTAL (HUF),30-Oct-2024 17:02,1172797,,0,0,0,0,Equity Shares,5570236,523587,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172797_1294379_30102024050251_WEB.xml,Promoter Group,183340,0.04,11140472,Equity Shares,5753576,1.29,25-Oct-2024,25-Oct-2024,30-Oct-2024,Others,-,NSE,-
MITTAL,Mittal Life Style Limited,7(2),BRIJESHKUMAR JAGDISHKUMAR MITTAL (HUF),30-Oct-2024 17:02,1172797,,0,0,0,0,Equity Shares,16828970,523586,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172797_1294379_30102024050251_WEB.xml,Promoter Group,33657940,7.58,33657940,Equity Shares,50486910,11.37,25-Oct-2024,25-Oct-2024,30-Oct-2024,Others,-,NSE,-
MITTAL,Mittal Life Style Limited,7(2),PRATIK BRIJESHKUMAR MITTAL,30-Oct-2024 17:02,1172797,,0,0,0,0,Equity Shares,6904545,523581,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172797_1294379_30102024050251_WEB.xml,Promoters,11729090,2.64,13809090,Equity Shares,18633635,4.19,25-Oct-2024,25-Oct-2024,30-Oct-2024,Others,-,NSE,-
MITTAL,Mittal Life Style Limited,7(2),SUDHA BRIJESHKUMAR MITTAL,30-Oct-2024 17:02,1172797,,0,0,0,0,Equity Shares,12050110,523582,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172797_1294379_30102024050251_WEB.xml,Promoter Group,2720220,0.61,24100220,Equity Shares,14770330,3.32,25-Oct-2024,25-Oct-2024,30-Oct-2024,Others,-,NSE,-
RAMCOIND,Ramco Industries Limited,7(2),RAMCO MANAGEMENT PVT. LTD.,30-Oct-2024 15:06,1172788,,0,0,0,0,Equity Shares,10700000,523557,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172788_1294039_30102024030612_WEB.xml,Promoter Group,1898800,2.19,2482935000,Equity Shares,12598800,14.51,29-Oct-2024,29-Oct-2024,29-Oct-2024,Inter-se-Transfer,-,NSE,-
RAMCOIND,Ramco Industries Limited,7(2),RAJAPALAYAM MILLS LTD,30-Oct-2024 15:06,1172788,,0,0,0,0,Equity Shares,3391500,523556,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172788_1294039_30102024030612_WEB.xml,Promoter Group,8401680,9.68,786997575,Equity Shares,11793180,13.59,29-Oct-2024,29-Oct-2024,29-Oct-2024,Inter-se-Transfer,-,NSE,-
RAMCOIND,Ramco Industries Limited,7(2),THE RAMCO CEMENTS LIMITED,30-Oct-2024 15:06,1172788,,0,0,0,0,Equity Shares,14091500,523558,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172788_1294039_30102024030612_WEB.xml,Promoter Group,14092500,16.23,3269900000,Equity Shares,1000,0,29-Oct-2024,29-Oct-2024,30-Oct-2024,Inter-se-Transfer,-,NSE,-
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,26-Oct-2024 18:46,1172714,,0,0,0,0,Equity Shares,2559700,523445,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172714_1290021_26102024064643_WEB.xml,Director,175105333,28.61,1854676,Equity Shares,172545633,28.19,21-Oct-2024,25-Oct-2024,26-Oct-2024,Market Sale,-,NSE,-
SANOFICONR,Sanofi Consumer Healthcare India Limited,7(2),Opella Healthcare Participations B.V.,23-Oct-2024 15:39,1172649,,0,0,0,0,Equity Shares,13904722,523309,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172649_1285861_23102024033917_WEB.xml,Promoter Group,Nil,0,69274020240,Equity Shares,13904722,60.37,10-Oct-2024,11-Oct-2024,11-Oct-2024,Inter-se-Transfer,-,BSE,-
SANOFICONR,Sanofi Consumer Healthcare India Limited,7(2),Hoechst GmbH,23-Oct-2024 15:39,1172649,,0,0,0,0,Equity Shares,13904722,523308,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172649_1285861_23102024033917_WEB.xml,Promoters,13904722,60.37,69274020240,Equity Shares,Nil,0,10-Oct-2024,11-Oct-2024,11-Oct-2024,Inter-se-Transfer,-,BSE,-
COCHINSHIP,Cochin Shipyard Limited,7(2),The President of India,21-Oct-2024 19:11,1172607,,0,0,0,0,Equity Shares,13015689,523169,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172607_1283776_21102024071150_WEB.xml,Promoters,191686928,72.86,20177068036,Equity Shares,178671239,67.91,16-Oct-2024,17-Oct-2024,21-Oct-2024,Market Sale,-,NA,-
INFIBEAM,Infibeam Avenues Limited,7(2),Rahul Hirve,18-Oct-2024 17:36,1172577,,0,0,0,0,Equity Shares,3000000,523110,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172577_1278292_18102024053612_WEB.xml,-,7591,0,3000000,Equity Shares,3007591,0.11,15-Oct-2024,15-Oct-2024,17-Oct-2024,ESOP,-,NA,-
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,17-Oct-2024 18:31,1172573,,0,0,0,0,Equity Shares,3915071,523065,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172573_1275747_17102024063100_WEB.xml,Promoters,179020404,29.25,3114942,Equity Shares,175105333,28.61,11-Oct-2024,17-Oct-2024,17-Oct-2024,Market Sale,-,NSE,-
KIRIINDUS,Kiri Industries Limited,7(2),Manishkumar P Kiri,16-Oct-2024 18:50,1172556,,0,0,0,0,Warrants,3633789,523030,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172556_1273273_16102024065019_WEB.xml,Promoters,Nil,0,683152332,Warrants,3633789,0,15-Oct-2024,15-Oct-2024,16-Oct-2024,Preferential Offer,-,NA,-
KIRIINDUS,Kiri Industries Limited,7(2),Hemil Manishkumar Kiri,16-Oct-2024 18:50,1172556,,0,0,0,0,Warrants,3200000,523033,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172556_1273273_16102024065019_WEB.xml,Promoter Group,Nil,0,601600000,Warrants,3200000,0,15-Oct-2024,15-Oct-2024,16-Oct-2024,Preferential Offer,-,NA,-
KIRIINDUS,Kiri Industries Limited,7(2),Arunaben Pravinbhai Kiri,16-Oct-2024 18:50,1172556,,0,0,0,0,Warrants,2700000,523032,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172556_1273273_16102024065019_WEB.xml,Promoter Group,Nil,0,507600000,Warrants,2700000,0,15-Oct-2024,15-Oct-2024,16-Oct-2024,Preferential Offer,-,NA,-
KIRIINDUS,Kiri Industries Limited,7(2),Anupama Manishkumar Kiri,16-Oct-2024 18:50,1172556,,0,0,0,0,Warrants,3800000,523031,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172556_1273273_16102024065019_WEB.xml,Promoter Group,Nil,0,714400000,Warrants,3800000,0,15-Oct-2024,15-Oct-2024,16-Oct-2024,Preferential Offer,-,NA,-
RAMCOIND,Ramco Industries Limited,7(2),SHRI P.R.VENKETRAMA RAJA,15-Oct-2024 13:18,1172526,,0,0,0,0,Equity Shares,3077276,522983,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172526_1269768_15102024011836_WEB.xml,Promoters,6220655,7.17,712800000,Equity Shares,9297931,10.71,14-Oct-2024,14-Oct-2024,15-Oct-2024,Gift,-,NA,-
RAMCOIND,Ramco Industries Limited,7(2),R SUDARSANAM,15-Oct-2024 13:18,1172526,,0,0,0,0,Equity Shares,3077276,522984,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172526_1269768_15102024011836_WEB.xml,Promoter Group,3077276,3.54,712800000,Equity Shares,Nil,0,14-Oct-2024,14-Oct-2024,15-Oct-2024,Gift,-,NA,-
NAVKARCORP,Navkar Corporation Limited,7(2),Sidhhartha Corporation Private Limited,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,9248347,522970,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoter Group,9248347,6.14,884234457,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
NAVKARCORP,Navkar Corporation Limited,7(2),Nemichand  Mehta Family Trust,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,18364000,522969,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoter Group,18364000,12.2,1755782040,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
NAVKARCORP,Navkar Corporation Limited,7(2),Shailaja  Mehta Family Trust,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,28899000,522968,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoter Group,28899000,19.2,2763033390,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
NAVKARCORP,Navkar Corporation Limited,7(2),Shantilal J Mehta,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,45949253,522961,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoters,45949253,30.53,4393208079,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
SADBHAV,Sadbhav Engineering Limited,7(2),SHASHIN V PATEL,11-Oct-2024 17:56,1172500,,0,0,0,0,Equity Shares,4989742,522938,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172500_1266726_11102024055646_WEB.xml,Promoter Group,2388866,1.39,182424967,Equity Shares,7378608,4.3,10-Oct-2024,10-Oct-2024,11-Oct-2024,Others,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR HUF,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,20880000,522880,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoters,20880000,5.56,0,Equity Shares,Nil,0,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,7500000,522879,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Key Managerial Personnel,Nil,0,0,Equity Shares,7500000,2,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),MANIK GARG,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,9570000,522878,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoter Group,5040000,1.34,0,Equity Shares,14610000,3.89,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR HUF,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,20880000,522876,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoters,20880000,5.56,0,Equity Shares,Nil,0,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),NEELESH GARG,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,3810000,522877,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoter Group,10800000,2.88,0,Equity Shares,14610000,3.89,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
TRITURBINE,Triveni Turbine Limited,7(2),DHRUV MANMOHAN SAWHNEY,03-Oct-2024 18:52,1172340,,0,0,0,0,Equity Shares,3178000,522266,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172340_1258582_03102024065217_WEB.xml,Promoters,22955029,7.22,0,Equity Shares,26133029,8.22,30-Sep-2024,30-Sep-2024,03-Oct-2024,Off Market,-,NA,-
TRITURBINE,Triveni Turbine Limited,7(2),RATI SAWHNEY,03-Oct-2024 18:52,1172340,,0,0,0,0,Equity Shares,3178000,522267,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172340_1258582_03102024065217_WEB.xml,Promoters,36064546,11.35,0,Equity Shares,32886546,10.35,30-Sep-2024,30-Sep-2024,03-Oct-2024,Off Market,-,NA,-
SBCL,Shivalik Bimetal Controls Limited,7(2),Ultra Portfolio Management Private Limited,01-Oct-2024 21:22,1172267,,0,0,0,0,Equity Shares,2866270,522035,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172267_1257552_01102024092205_WEB.xml,Promoters,2866270,4.98,1750144462,Equity Shares,Nil,0,27-Sep-2024,27-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
SBCL,Shivalik Bimetal Controls Limited,7(2),Angad Estates Private Limited,01-Oct-2024 21:22,1172267,,0,0,0,0,Equity Shares,4965000,522034,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172267_1257552_01102024092205_WEB.xml,Promoters,4965000,8.62,3031629000,Equity Shares,Nil,0,27-Sep-2024,27-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
ASLIND,ASL Industries Limited,7(3),SKYBRIDGE INCAP ADVISORY LLP,01-Oct-2024 18:42,1172246,,0,0,0,0,Equity Shares,4773090,521986,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172246_1257186_01102024064212_WEB.xml,-,2136000,20.5,160925060,Equity Shares,6909090,66.32,27-Sep-2024,27-Sep-2024,01-Oct-2024,Off Market,-,NSE,-
RAJMET,Rajnandini Metal Limited,7(2),Het Ram,01-Oct-2024 17:41,1172212,,0,0,0,0,Equity Shares,40000000,521929,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172212_1256942_01102024054120_WEB.xml,Promoters,127380315,46.07,410000000,Equity Shares,87380315,31.6,30-Sep-2024,30-Sep-2024,01-Oct-2024,Off Market,-,NSE,-
VIPULLTD,Vipul Limited,7(2),MRS. SUNITA BERIWALA JT. MR. PUNIT BERIWALA,01-Oct-2024 16:04,1172183,,0,0,0,0,Equity Shares,12915971,521886,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172183_1256675_01102024040413_WEB.xml,Promoters,13300000,9.44,12915971,Equity Shares,384029,0.27,30-Sep-2024,30-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
